,Vehicle,Total_Problems,Category,Mode,Verbatim,Score
386,BMW 4 Series 2dr Cpe,3,Audio/Communication/Entertainment/Navigation (ACEN),D,"1) The Nav system doesn't allow you to keep the map zoomed out, which I prefer. You don't always want to see a dot  moving down a street, you want to see it from a distanced aerial view for greater perspective.2) I don't enjoy the woman's voice who speaks the Nav directions. There should be options like in GoogleMaps where you can choose male or female, and accent, such as American english or British english.",0.0675
813,BMW 4 Series 2dr Cpe,2,Exterior,M,Scratches on right rear side molding and on left door area,0.0
545,BMW 4 Series 2dr Cpe,3,Exterior,M,Doors must be pushed hard to stay open. They are heavy and tend to try to close again if not pushed open far.,-0.1027
814,BMW 4 Series 2dr Cpe,2,Driving Experience,M,"Car was in Neutral on a slight incline and the hand brake was full extended; however, the car moved to the rear without any application of acceleration.",0.4939
2395,BMW 4 Series 2dr Cpe,5,Engine/Transmission,D,Fuel efficiency is far less than advertised,0.3612
2394,BMW 4 Series 2dr Cpe,5,Interior,D,Can't comfortably rest my elbow on the console while I am driving.  It should be a little farther toward the front.,-0.3252
2092,BMW 4 Series 2dr Cpe,1,Exterior,M,"The rubber at the base of the window squeaks when closing the door.  The window moves upward about a half inch when closing the door, by design.  It is during this function that the rubber squeaks.",0.0
2392,BMW 4 Series 2dr Cpe,5,Features/Controls/Displays (FCD),D,Already described.,0.0
369,BMW 4 Series 2dr Cpe,3,Driving Experience,M,,0.0
371,BMW 4 Series 2dr Cpe,3,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
376,BMW 4 Series 2dr Cpe,1,Audio/Communication/Entertainment/Navigation (ACEN),D,"Bluetooth often disconnects/loses connectivity with iPhone.  When multiple phones are present switches inadvertently to secondary phone or when trying to pair for audio playback, has difficulty maintaining connection",-0.34
478,BMW 4 Series 2dr Cpe,2,Features/Controls/Displays (FCD),M,See earlier comment - hard to get a toot and a much weaker toot than previous BMWs,-0.5106
2391,BMW 4 Series 2dr Cpe,5,Driving Experience,M,Car still moves forward with the emergency brake engaged.  This seems very strange to me.,-0.2484
384,BMW 4 Series 2dr Cpe,3,Features/Controls/Displays (FCD),D,"There is no indicator on the dashboard about the heated steering wheel, which means when you turn the heater on, there is no icon or symbol indicating that your steering wheel heater is on. There is a little message that flashes for a second when you turn it on, but then it disappears. That's not the case for every other comfort feature -- when your heated seats are on, there's a 3-light indicator telling you A) they're on, and B) the level of heat.  With the steering wheel heater, there's nothing.",-0.2617
385,BMW 4 Series 2dr Cpe,3,Audio/Communication/Entertainment/Navigation (ACEN),D,"For some reason the system refuses to save preset radio stations, so you're forced to 'scan' all stations to find one you want, which is time-consuming and ANNOYING.",-0.4958
370,BMW 4 Series 2dr Cpe,3,Audio/Communication/Entertainment/Navigation (ACEN),D,It is complex and inconsistent in putting in address and then finding it later.  My last car was very simple,0.0
546,BMW 4 Series 2dr Cpe,3,Features/Controls/Displays (FCD),D,Display is difficult to see when wearing polarized sunglasses.,-0.3612
1473,BMW 4 Series 2dr Cpe,3,Features/Controls/Displays (FCD),D,the display needs to be higher on the windshield,0.0
1472,BMW 4 Series 2dr Cpe,3,Exterior,M,,0.0
1243,BMW 4 Series 2dr Cpe,4,Interior,D,,0.0
228,BMW 4 Series 2dr Cpe,3,Interior,M,"Smell is a cross between smoke and new car smell.  I'd prefer new car smell without the smoke smell.  At delivery, Dealer said nothing could be done and that it was normal.",0.0
229,BMW 4 Series 2dr Cpe,3,Engine/Transmission,M,: Warning of 'chassis malfunction'.  Dealer had car for 2-3 days to determine with BMW how to correct.  Ended up resetting software for entire car.  No problems since and it's been 2 weeks.,-0.743
1242,BMW 4 Series 2dr Cpe,4,Interior,D,,0.0
1241,BMW 4 Series 2dr Cpe,4,Audio/Communication/Entertainment/Navigation (ACEN),D,I have only tried to use the USB port a couple of times and it so far has failed to read the devices I have used .,-0.552
547,BMW 4 Series 2dr Cpe,3,Seats,M,A sensor came on stating the seatbelt had an error.,-0.4019
2704,BMW 4 Series 2dr Cpe,3,Exterior,M,"There is a small chip on the driver door, which appears to be the result of opening the door against another vehicle or wall.",0.0
2705,BMW 4 Series 2dr Cpe,3,Driving Experience,M,,0.0
1244,BMW 4 Series 2dr Cpe,4,Engine/Transmission,M,There is a 'clicking' noise when the engine is running.,0.0
2706,BMW 4 Series 2dr Cpe,3,Features/Controls/Displays (FCD),D,"The control is not visible from the seat and hard to locate,",-0.1027
1444,BMW 4 Series 2dr Cpe,4,Features/Controls/Displays (FCD),D,"You seem to need to push the off button twice. Once for the engine, once for the electronics.  This is working as bmw intended, but I think itâ€™s strange. Dealer told me this is how it is",-0.296
1445,BMW 4 Series 2dr Cpe,4,Audio/Communication/Entertainment/Navigation (ACEN),D,"I bought apple car play. That was a mistake. If you activate this, all bmw interface is lost. Itâ€™s one or the other. So, I disconnected apple car play. Iâ€™m still supposed to be able to text via the steering wheel button. This sometimes works, but mostly no.  Also, music from my phone is to play. It only wants to play Coldplay. NO matter which song I select.  Annoying. I like Coldplay, but have other songs too.  The bmw genius wasnâ€™t that smart",0.4498
1446,BMW 4 Series 2dr Cpe,4,Interior,D,Taller cups or mugs interfere with the center console,0.0
1000,BMW 4 Series 2dr Cpe,2,Audio/Communication/Entertainment/Navigation (ACEN),D,The navigation system sent me to an entirely different location than the one I selected.,0.0
999,BMW 4 Series 2dr Cpe,2,Features/Controls/Displays (FCD),M,The front 12V power outlet  intermittently won't make contact with the inserted plug.  The same plug works fine in the other two 12V outlets.,0.2023
65,BMW 4 Series 2dr Cpe,2,Exterior,U,the trunk often opens overbite in the garage.,0.0
66,BMW 4 Series 2dr Cpe,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1474,BMW 4 Series 2dr Cpe,3,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1443,BMW 4 Series 2dr Cpe,4,Features/Controls/Displays (FCD),D,"Auto windshield wipers are difficult to make swipe slow enough in some fog or mist conditions. Everything is working as bmw intended, I just think the slowest mode is too fast",-0.3612
227,BMW 4 Series 2dr Cpe,3,Audio/Communication/Entertainment/Navigation (ACEN),D,Satellite radio keeps cutting in and out on all channels.  I've contacted Sirius XM to ping my radio but it still doesn't help.  Plan on going to dealer to see if it's a radio problem.,-0.7709
548,BMW 4 Series 2dr Cpe,1,Interior,D,"I purchased the wireless phone charger. when we went to put my phone in it didn't fit. I was assured before purchase that all phones fit. when we took the case off it final fit, but it was and continues to be a struggle to get it to fit in properly without feeling like I am breaking something.",-0.9012
1719,BMW 4 Series 2dr Cpe,1,Driving Experience,U,rough ride,0.0
1050,BMW 4 Series 2dr Cpe,3,Audio/Communication/Entertainment/Navigation (ACEN),D,"Just a poor layout, I'm worried I'm going to wreck the vehicle as a result of the confusion trying to figure things out.",-0.8555
1049,BMW 4 Series 2dr Cpe,3,Exterior,M,"When headlamps are on, one beam is lower than the other. Mismatched",-0.296
93,BMW 4 Series 2dr Cpe,1,Audio/Communication/Entertainment/Navigation (ACEN),D,phone contacts only show from A to M.,0.0
589,BMW 4 Series 2dr Cpe,1,Driving Experience,D,Brakes sqeal when braking in reverse,0.0
1198,BMW 4 Series Gran Coupe 4dr Hbk,10,Features/Controls/Displays (FCD),D,the head up display completely disappears when i wear polarized sunglasses which is utterly idiotic since polarized sunglasses are very commonly used.  How on earth could a company as large as BMW completely miss or ignore this???,-0.8953
1295,BMW 4 Series Gran Coupe 4dr Hbk,1,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1197,BMW 4 Series Gran Coupe 4dr Hbk,10,Features/Controls/Displays (FCD),M,,0.0
2668,BMW 4 Series Gran Coupe 4dr Hbk,1,Interior,D,,0.0
2927,BMW 4 Series Gran Coupe 4dr Hbk,3,Driving Experience,D,Is just a sound sometimes when I use the breaks.,0.0
2926,BMW 4 Series Gran Coupe 4dr Hbk,3,Exterior,M,"some scratchs, also under front  car.",0.0
110,BMW 4 Series Gran Coupe 4dr Hbk,1,Exterior,M,some sort of residue around the shark fin antenna on the roof. Almost a perfect circle around the Fin.,0.5279
889,BMW 4 Series Gran Coupe 4dr Hbk,3,Driving Experience,U,Left foot dead pedal is too low and not even with gas pedal.,-0.7506
890,BMW 4 Series Gran Coupe 4dr Hbk,3,Audio/Communication/Entertainment/Navigation (ACEN),D,Car sometimes fails to recognize iPod.  Sometimes first 1-2 seconds of song repeat over and over again for 20-30 seconds before song plays .,-0.2023
2696,BMW 4 Series Gran Coupe 4dr Hbk,6,Features/Controls/Displays (FCD),D,,0.0
1043,BMW 4 Series Gran Coupe 4dr Hbk,3,Audio/Communication/Entertainment/Navigation (ACEN),D,"Sometimes when I try to state the name of a business , it will not recognize it and I have to manually look up the physical address on the internet and then enter that into the navigation.  Obviously, being able to simply say the business name would be preferred because it's seamless.",0.0
2695,BMW 4 Series Gran Coupe 4dr Hbk,6,Features/Controls/Displays (FCD),D,,0.0
1199,BMW 4 Series Gran Coupe 4dr Hbk,10,Features/Controls/Displays (FCD),D,,0.0
1201,BMW 4 Series Gran Coupe 4dr Hbk,10,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1118,BMW 4 Series Gran Coupe 4dr Hbk,4,Audio/Communication/Entertainment/Navigation (ACEN),D,The navigation/voice recognition does a poor job in general. Waze on my phone works better and is easier to use. I would have preferred to have Android Auto which BMW doesn't provide. The only thing I really like about the system is the directions that are sent to the heads-up display.,0.659
1117,BMW 4 Series Gran Coupe 4dr Hbk,4,Audio/Communication/Entertainment/Navigation (ACEN),D,"I say Sullivan drive in West Point, PA and it tries to take me to Kentucky????????",0.0
1202,BMW 4 Series Gran Coupe 4dr Hbk,10,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1203,BMW 4 Series Gran Coupe 4dr Hbk,10,Audio/Communication/Entertainment/Navigation (ACEN),D,"Absolutely THE WORST nav system i have ever encountered - anywhere.  It's inaccurate, doesn't find addresses of well established, long standing public and private locations, gives completely inaccurate directions causing me to get lost, is difficult to save or edit location entries, often impossible to complete actions that are extremely easy to complete on other nav systems.",-0.3439
1204,BMW 4 Series Gran Coupe 4dr Hbk,10,Interior,D,,0.0
1205,BMW 4 Series Gran Coupe 4dr Hbk,10,Interior,D,,0.0
1206,BMW 4 Series Gran Coupe 4dr Hbk,10,Engine/Transmission,D,,0.0
1116,BMW 4 Series Gran Coupe 4dr Hbk,4,Features/Controls/Displays (FCD),M,": The parking assist seems too sensitive. All the bells and buzzers go off and I'm still a foot away from the curb. On my next scheduled trip to the dealer, I will see if there any settings that can be changed.",0.0
970,BMW 4 Series Gran Coupe 4dr Hbk,1,Audio/Communication/Entertainment/Navigation (ACEN),D,"Wouldn't consistently connect to the phone whenever I got in the car -- one time it would, the next time it wouldn't.  Problem has been largely corrected thanks to a firmware update on my phone, so it didn't appear to be a problem with the car after having the BMW service department look at the problem.",-0.0624
2466,BMW 4 Series Gran Coupe 4dr Hbk,1,Interior,U,the sun roof interior outline dented in,0.0
870,BMW 4 Series Gran Coupe 4dr Hbk,2,Interior,D,,0.0
869,BMW 4 Series Gran Coupe 4dr Hbk,2,Features/Controls/Displays (FCD),D,,0.0
1115,BMW 4 Series Gran Coupe 4dr Hbk,4,Driving Experience,D,"Pedal feels a bit soft under hard braking. Car stops ok, just doesn't feel solid like my previous BMWs. I do like the fact that my car doesn't generate the soot like my previous cars with I fixed with aftermarket pads. I assume I'll end up doing the same thing after the included maintenance is done. Will mention it at my first service call. Not bad enough to warrant a special trip.",-0.7487
1200,BMW 4 Series Gran Coupe 4dr Hbk,10,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1125,BMW 4 Series Gran Coupe 4dr Hbk,1,Audio/Communication/Entertainment/Navigation (ACEN),D,"Blue-tooth connectivity is inconsistent.  May connect when I enter car and then later during same driving time, it doesn't connect.  Or sometimes doesn't connect on entry.  Using Apple-Play.",0.0
1042,BMW 4 Series Gran Coupe 4dr Hbk,3,Driving Experience,D,"The brakes work.  They just feel a bit 'mushier' than my 2015 gran coupe that I just traded in.  However, I don't think they are actually malfunctioning.",0.0
2073,BMW 4 Series Gran Coupe 4dr Hbk,2,Engine/Transmission,M,loud rumble,0.0
2347,BMW 4 Series Gran Coupe 4dr Hbk,6,Exterior,M,Does not always respond to using foot swipe under the fender.,0.0
2348,BMW 4 Series Gran Coupe 4dr Hbk,6,Exterior,M,: Ability to open trunk with foot under bumper does not always work.,0.3182
2349,BMW 4 Series Gran Coupe 4dr Hbk,6,Features/Controls/Displays (FCD),D,Turns off when additional feature is implemented.,0.0
2350,BMW 4 Series Gran Coupe 4dr Hbk,6,Features/Controls/Displays (FCD),D,,0.0
2351,BMW 4 Series Gran Coupe 4dr Hbk,6,Seats,D,Not sure how to get increased height.,0.5267
2072,BMW 4 Series Gran Coupe 4dr Hbk,2,Driving Experience,D,,0.0
2697,BMW 4 Series Gran Coupe 4dr Hbk,6,Features/Controls/Displays (FCD),D,,0.0
84,BMW 4 Series Gran Coupe 4dr Hbk,3,Features/Controls/Displays (FCD),D,Difficult to find the mileage reset once you refill the gas tank,-0.3612
